#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2020-08-06-15-46-13
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1470864773.919781	CfkrYe1K94Is3hNOcg	10.10.10.108	52164	91.189.88.152	80	tcp	-	3.119584	0	0	SHR	-	-	0	^fCta	0	0	3	365	-
1470864773.639728	CNXHFC2ibF6Hm9GM09	10.10.10.108	52176	91.189.88.152	80	tcp	-	0.427077	1	211	RSTO	-	-	0	^hCadfRfR	3	120	8	805	-
1470864774.329719	CZghZD4OU2AsgfuuHd	10.10.10.108	52165	91.189.88.152	80	tcp	-	3.210704	0	0	SHR	-	-	0	^fCat	0	0	3	367	-
1470864774.149731	CqPydh2ySuLVTkcMel	10.10.10.108	52177	91.189.88.152	80	tcp	-	0.421786	1	209	RSTO	-	-	0	^hCadfRfR	3	120	8	803	-
1470864774.639755	CbZNkI3k1Cp2WDgxw1	10.10.10.108	52178	91.189.88.152	80	tcp	-	0.436970	0	211	RSTO	-	-	0	^hCadfR	2	80	7	752	-
1470864767.524863	Cr2U5j3u11um6SBRl1	10.10.10.108	55557	91.189.92.191	80	tcp	-	9.914973	0	110	SHR	-	-	0	Cdtf	0	0	3	376	-
1470864769.013126	CSTrTI2woW0O6VDzt5	10.10.10.108	55563	91.189.92.191	80	tcp	-	8.786709	0	110	SHR	-	-	0	^dCtf	0	0	3	376	-
1470864768.998070	CtTKvV3hlHy2cwwdT2	10.10.10.108	55566	91.189.92.191	80	tcp	-	9.131831	0	110	SHR	-	-	0	^dCtf	0	0	3	376	-
1470864779.609975	CAfKdl1paPXq09kcl1	10.10.10.108	52164	91.189.88.152	80	tcp	-	-	-	-	SHR	-	-	0	^fC	0	0	1	261	-
1470864761.399399	CO81xE3VjUjqqZF2Yc	10.10.10.108	35780	91.189.91.26	80	tcp	-	21.210619	0	1361130	SHR	-	-	0	^hCadCCttcf	0	0	963	1409589	-
1470864784.772889	CzKEHm1vIxhBg4tIP8	10.10.10.108	52163	91.189.88.152	80	tcp	-	0.807235	0	0	SHR	-	-	0	Caf	0	0	2	326	-
1470864785.636867	CPcJe04a5QuXMrTSdk	10.10.10.108	52165	91.189.88.152	80	tcp	-	0.513295	0	0	SHR	-	-	0	Caf	0	0	2	327	-
1470864785.188884	CK3cpL1vGownzimXo8	10.10.10.108	52164	91.189.88.152	80	tcp	-	5.341376	0	0	SHR	-	-	0	Caf	0	0	2	325	-
1470864801.764858	CrlBVn18UBRiJmyEp	10.10.10.108	52163	91.189.88.152	80	tcp	-	1.205725	0	0	SHR	-	-	0	Caf	0	0	2	326	-
1470864802.724870	CASYY94Om2DKiirB	10.10.10.108	52165	91.189.88.152	80	tcp	-	0.675693	0	0	SHR	-	-	0	Caf	0	0	2	327	-
1470864762.232510	CWrgGk2Tn9lsFVaShf	10.10.10.108	53455	120.52.72.22	80	tcp	-	42.608049	0	849340	SHR	-	-	0	^hCadtCtCf	0	0	600	884868	-
1470864763.009505	Cy2LGt4hIsdxoWf3ma	10.10.10.108	58702	120.52.72.23	80	tcp	-	45.621187	0	1836392	SHR	-	-	0	^hCadtCtCtCf	0	0	1287	1904764	-
1470864802.212874	CsFz7r3E2jFr2VFg87	10.10.10.108	52164	91.189.88.152	80	tcp	-	10.567983	0	0	SHR	-	-	0	Caf	0	0	2	325	-
1470864835.748882	CNzhphcVtLfPDqaze	10.10.10.108	52163	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864836.900888	CMYEud4vIOBBBIPAnl	10.10.10.108	52165	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864836.260892	CmJY4lUg2Vb5spEa3	10.10.10.108	52164	91.189.88.152	80	tcp	-	20.641076	0	0	SHR	-	-	0	Caf	0	0	2	325	-
1470864873.597667	C3IsyC1gAFUPWQ7TEi	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004898	200	0	S0	-	-	0	CD	4	312	0	0	-
1470864888.613860	CpF5AN2g3ta6oxP8lg	10.10.10.108	138	10.10.10.255	138	udp	-	28.029997	1263	0	S0	-	-	0	CD	6	1431	0	0	-
1470864789.214370	CCl0oswEyl4e5pVVg	10.10.10.108	55566	91.189.92.191	80	tcp	-	26.982536	0	110	OTH	-	-	0	^dCt	0	0	2	324	-
1470864776.097271	CakHTh4A17TgHew24h	10.10.10.108	60482	91.189.95.83	80	tcp	-	42.803853	0	117	OTH	-	-	0	^dCt	0	0	3	507	-
1470864790.408120	C8t3fO2JfW8yPNHgkg	10.10.10.108	55563	91.189.92.191	80	tcp	-	29.617818	0	111	OTH	-	-	0	^dCat	0	0	4	440	-
1470864783.780847	C7sQGE2XeYyz6he1Ze	10.10.10.108	55557	91.189.92.191	80	tcp	-	71.289716	0	0	OTH	-	-	0	Cadt	0	0	5	602	-
1470864769.229654	C8FGbDcQwAfo7kpoh	10.10.10.108	42908	120.52.72.24	80	tcp	-	92.862428	992	12194779	S3	-	-	992	^hCadtCtCACtGf	1	80	8531	12652799	-
1470865176.995645	CNnnvz3d8UogxZUgVa	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004743	200	0	S0	-	-	0	CD	4	312	0	0	-
1470865195.295962	CU957p2dGiZW9LufDa	10.10.10.108	42908	120.52.72.24	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
